id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2560831570,https://www.vivareal.com.br/imovel/apartamento-4-quartos-cambui-bairros-campinas-com-garagem-198m2-aluguel-RS3800-id-2560831570/,"Apartamento com 4 Quartos para Aluguel, 198m²","Cambuí, Campinas - SP",198,4 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Ar-condicionado
Playground
Closet
...",R$ 3.800 /mês,R$ 198.771,Campinas,2022-05-11 22:33
2546222590,https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazenda-sao-quirino-bairros-campinas-com-garagem-153m2-aluguel-RS8900-id-2546222590/,"Apartamento com 3 Quartos para Aluguel, 153m²","Rua Antonietta Bernardi Pellatieri, 605 - Fazenda São Quirino, Campinas - SP",153,3 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 8.900 /mês,R$ 1.380,Campinas,2022-05-11 22:33
2561722078,https://www.vivareal.com.br/imovel/apartamento-3-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-98m2-venda-RS850000-id-2561722078/,Apartamento com 3 Quartos para Venda/Aluguel 98m²,"Mansões Santo Antônio, Campinas - SP",98,3 Quartos,2 Banheiros,2 Vagas,"Churrasqueira
Elevador
Condomínio fechado
Varanda
Ar-condicionado
...","R$ 4.135 /mês
R$ 850.000",R$ 800,Campinas,2022-05-11 22:33
2558023464,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambui-bairros-campinas-com-garagem-81m2-venda-RS910000-id-2558023464/,Apartamento com 2 Quartos à Venda/Aluguel 81m²,"Rua Doutor Sampaio Peixoto - Cambuí, Campinas - SP",81,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...","R$ 5.900 /mês
R$ 910.000",R$ 638,Campinas,2022-05-11 22:33
2560028235,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-campinas-com-garagem-75m2-aluguel-RS1500-id-2560028235/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Amador Bueno, 165 - Vila Industrial, Campinas - SP",75,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Elevador
Condomínio fechado
Aceita animais
Jardim
...",R$ 1.500 /mês,R$ 698,Campinas,2022-05-11 22:33
2558687954,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-prado-bairros-campinas-com-garagem-87m2-aluguel-RS3450-id-2558687954/,"Apartamento com 3 Quartos para Aluguel, 87m²","Avenida Brunoro de Gasperi, 470 - Parque Prado, Campinas - SP",87,3 Quartos,3 Banheiros,2 Vagas,"Churrasqueira
Elevador
Varanda
Academia
Playground
...",R$ 3.450 /mês,R$ 800,Campinas,2022-05-11 22:33
2558023464,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambui-bairros-campinas-com-garagem-81m2-venda-RS910000-id-2558023464/,Apartamento com 2 Quartos à Venda/Aluguel 81m²,"Rua Doutor Sampaio Peixoto - Cambuí, Campinas - SP",81,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...","R$ 5.900 /mês
R$ 910.000",R$ 638,Campinas,2022-05-11 22:33
2560028235,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-campinas-com-garagem-75m2-aluguel-RS1500-id-2560028235/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Amador Bueno, 165 - Vila Industrial, Campinas - SP",75,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Elevador
Condomínio fechado
Aceita animais
Jardim
...",R$ 1.500 /mês,R$ 698,Campinas,2022-05-11 22:33
2558687954,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-prado-bairros-campinas-com-garagem-87m2-aluguel-RS3450-id-2558687954/,"Apartamento com 3 Quartos para Aluguel, 87m²","Avenida Brunoro de Gasperi, 470 - Parque Prado, Campinas - SP",87,3 Quartos,3 Banheiros,2 Vagas,"Churrasqueira
Elevador
Varanda
Academia
Playground
...",R$ 3.450 /mês,R$ 800,Campinas,2022-05-11 22:33
2559671459,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-nossa-senhora-auxiliadora-bairros-campinas-com-garagem-75m2-aluguel-RS2950-id-2559671459/,"Apartamento com 3 Quartos para Aluguel, 75m²","Jardim Nossa Senhora Auxiliadora, Campinas - SP",75,3 Quartos,2 Banheiros,2 Vagas,"Churrasqueira
Piscina
Copa
Varanda",R$ 2.950 /mês,R$ 720,Campinas,2022-05-11 22:33
